average_swin-FFpp3_swin-ProGAN testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5073529411764706,0.5825140933132126,0.024745269286754003,0.5954240694294035,1.0,0.012527634487840826
FFpp2,0.5080882352941176,0.6534384743163606,0.027616279069767442,0.6701200427553984,1.0,0.01400147383935151
FFpp3,0.9767526334907374,0.9943355325236176,0.9764359351988218,0.992209313986815,1.0,0.9539568345323741
FFpp4,0.49600580973129993,0.6590797727757651,0.00430416068866571,0.6830752985469424,1.0,0.002156721782890007
StyleGAN,0.553,0.9841050738516188,0.19168173598553345,0.9822249999999999,1.0,0.106
VQGAN,0.9905,1.0,0.9904088844018173,1.0,1.0,0.981
PNDM,0.612,0.9665434811075528,0.3660130718954248,0.9604149999999999,1.0,0.224
DDPM,0.5015,0.6943602920171459,0.005982053838484547,0.688357,1.0,0.003
LDM,0.721,0.9852155848776486,0.6130374479889042,0.981084,1.0,0.442
DDIM,0.5055,0.7672850386950927,0.021760633036597428,0.753619,1.0,0.011
ProGAN,0.9925,1.0,0.9924433249370277,1.0,1.0,0.985
