bit_2905_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5007352941176471,0.5119480194603376,0.20398593200468934,0.5173197750205315,0.498567335243553,0.12822402358142962
FFpp2,0.5279411764705882,0.558290970160947,0.2786516853932584,0.5611391923944267,0.5862884160756501,0.18275607958732498
FFpp3,0.5158009444242644,0.5479803520559087,0.2582081246521981,0.5478815773500055,0.5700245700245701,0.1669064748201439
FFpp4,0.5551924473493101,0.6148748116946665,0.35762978500262194,0.6135554368218707,0.6608527131782945,0.24514737598849748
StyleGAN,0.7185,0.9938743704332118,0.6082115518441197,0.9933230000000001,1.0,0.437
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.57,0.9626682242227536,0.24561403508771928,0.958945,1.0,0.14
DDPM,0.503,0.7139545691573415,0.011928429423459244,0.742144,1.0,0.006
LDM,0.74,0.9870531919283683,0.6486486486486487,0.9847729999999999,1.0,0.48
DDIM,0.5,0.6931217905132139,0.0,0.7118929999999999,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
