efficient_b0_blur_compr_LDM model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5404411764705882,0.5406059517126824,0.5707417582417582,0.5543828338265054,0.5344051446945337,0.6123802505526897
FFpp2,0.46654411764705883,0.4599287813710401,0.4647731464404279,0.4534026711851431,0.465288035450517,0.4642593957258659
FFpp3,0.45078096621867053,0.4585085750270757,0.44329896907216493,0.43634518650670073,0.4539969834087481,0.4330935251798561
FFpp4,0.45352214960058096,0.4537006840336596,0.44770642201834865,0.44523461535824316,0.4572713643178411,0.43853342918763477
StyleGAN,0.5,0.5477647188660544,0.0,0.5085135000000001,0.0,0.0
VQGAN,0.5,0.521896162836494,0.0,0.5459860000000001,0.0,0.0
PNDM,0.813,0.988500518861842,0.7699876998769988,0.9808830000000001,1.0,0.626
DDPM,0.998,1.0,0.9979959919839679,1.0,1.0,0.996
LDM,1.0,1.0,1.0,1.0,1.0,1.0
DDIM,0.9835,0.999722114959624,0.9832231825114387,0.999617,1.0,0.967
ProGAN,0.5,0.5447533179687414,0.0,0.5569999999999999,0.0,0.0
