swin_tiny_compr01_0906_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5014705882352941,0.49811779172123405,0.0014727540500736377,0.4910734319100817,1.0,0.0007369196757553427
FFpp2,0.5018382352941176,0.5452817437816411,0.0029433406916850625,0.5488775626611505,1.0,0.0014738393515106854
FFpp3,0.4961859789320741,0.5418403588266324,0.004307250538406317,0.5296083016198927,1.0,0.002158273381294964
FFpp4,0.49564270152505446,0.5708498953444447,0.002871500358937545,0.5834620738180094,1.0,0.0014378145219266715
StyleGAN,0.5,0.7192307143274095,0.0,0.7176520000000001,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.509,0.9239017984014641,0.03536345776031434,0.9144895000000001,1.0,0.018
DDPM,0.5,0.8213924254888747,0.0,0.818506,0.0,0.0
LDM,0.5015,0.8306466401212673,0.005982053838484547,0.8089899999999999,1.0,0.003
DDIM,0.5005,0.8627395670192708,0.001998001998001998,0.852215,1.0,0.001
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
