ddim_progan_attempt5NN_swin-ProGAN_swin-DDIM_swin-ProGAN-DDIM testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5647058823529412,0.5461260067692387,0.6026845637583893,0.5716558417509601,0.5532963647566236,0.6617538688282977
FFpp2,0.4970588235294118,0.49976463571973107,0.5107296137339056,0.4941527613402098,0.4961779013203614,0.5261606484893147
FFpp3,0.49073737740646567,0.49863741768203496,0.5042432814710043,0.4875148450571898,0.4958275382475661,0.5129496402877698
FFpp4,0.5177923021060276,0.5159450902460023,0.5426997245179064,0.5163310095873641,0.5208195637805684,0.5664989216391085
StyleGAN,0.566,0.5795,0.2332155477031802,0.5795,1.0,0.132
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.9975,0.9975,0.9974937343358395,0.9975,1.0,0.995
DDPM,1.0,1.0,1.0,1.0,1.0,1.0
LDM,0.6325,0.6539999999999999,0.4189723320158103,0.654,1.0,0.265
DDIM,1.0,1.0,1.0,1.0,1.0,1.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
