ffpp3_progan_swin-FFpp3_swin-ProGAN testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.506985294117647,0.5819856251940176,0.023306627822286964,0.5953808166237833,1.0,0.011790714812085483
FFpp2,0.5080882352941176,0.6534802890351575,0.027616279069767442,0.6701481570790516,1.0,0.01400147383935151
FFpp3,0.9767526334907374,0.9943355325236176,0.9764359351988218,0.992209313986815,1.0,0.9539568345323741
FFpp4,0.49564270152505446,0.6584932087579627,0.002871500358937545,0.6830151698398625,1.0,0.0014378145219266715
StyleGAN,0.553,0.9841050738516188,0.19168173598553345,0.9822249999999999,1.0,0.106
VQGAN,0.9905,1.0,0.9904088844018173,1.0,1.0,0.981
PNDM,0.6115,0.9665337783616962,0.36467702371218313,0.96041,1.0,0.223
DDPM,0.5015,0.6943602920171459,0.005982053838484547,0.688357,1.0,0.003
LDM,0.7205,0.9852142112512751,0.6120749479528106,0.9810829999999999,1.0,0.441
DDIM,0.5055,0.7672850386950927,0.021760633036597428,0.753619,1.0,0.011
ProGAN,0.9925,1.0,0.9924433249370277,1.0,1.0,0.985
