ffpp3_progan_swin-ProGAN_swin-DDIM_swin-ProGAN-DDIM testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.544485294117647,0.5609283427638063,0.44414535666218036,0.568896583082422,0.5676605504587156,0.3647752394988946
FFpp2,0.5011029411764706,0.5050507082454954,0.3571766935101848,0.5030604063276691,0.5,0.2778187177597642
FFpp3,0.480203414456956,0.4957022911766671,0.3195435092724679,0.48963036467377824,0.47124824684431976,0.24172661870503598
FFpp4,0.5098039215686274,0.5140552283571798,0.38243366880146384,0.5227526500145311,0.5257861635220126,0.30050323508267435
StyleGAN,0.527,0.9923427223732881,0.10246679316888045,0.9922900000000001,1.0,0.054
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.9955,0.999997003992016,0.9954796584630838,0.999997,1.0,0.991
DDPM,1.0,1.0,1.0,1.0,1.0,1.0
LDM,0.57,0.9946200164822337,0.24561403508771928,0.994042,1.0,0.14
DDIM,1.0,1.0,1.0,1.0,1.0,1.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
