metamodel0806_swin-FFpp3_swin-FFpp2 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5323529411764706,0.7548261493914495,0.12033195020746888,0.74141634555964,0.9775280898876404,0.06411201179071481
FFpp2,0.9889705882352942,0.9961305353766771,0.9888392857142857,0.993081713741038,0.9984973703981969,0.9793662490788504
FFpp3,0.9854703959317108,0.9978016605826106,0.9854227405247813,0.9972896224473099,0.9985228951255539,0.9726618705035971
FFpp4,0.4974582425562818,0.5710297563261475,0.012838801711840228,0.5738863134931456,0.8181818181818182,0.006470165348670022
StyleGAN,0.5225,0.5880870032883028,0.13260672116257946,0.585002,0.7227722772277227,0.073
VQGAN,0.5175,0.5977189418095366,0.1154903758020165,0.6004020000000001,0.6923076923076923,0.063
PNDM,0.537,0.6369330875952082,0.18053097345132743,0.621877,0.7846153846153846,0.102
DDPM,0.5295,0.6234066328431763,0.15605381165919283,0.6217579999999999,0.7565217391304347,0.087
LDM,0.524,0.611079198540966,0.13768115942028986,0.612022,0.7307692307692307,0.076
DDIM,0.5475,0.6743203234345382,0.21372719374456994,0.6680870000000001,0.8145695364238411,0.123
ProGAN,0.523,0.5865475813307941,0.13430127041742287,0.585089,0.7254901960784313,0.074
