swin_tiny_0506_FFpp3 model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5088235294117647,0.6305477539803306,0.030478955007256895,0.6020798652242576,1.0,0.015475313190862197
FFpp2,0.5117647058823529,0.7520808159828384,0.04184704184704185,0.7455150895522307,1.0,0.021370670596904937
FFpp3,0.9861968761351253,0.9984339345580899,0.9861415025528811,0.998102471800989,1.0,0.9726618705035971
FFpp4,0.49564270152505446,0.5136362590101979,0.002871500358937545,0.52709668537865,1.0,0.0014378145219266715
StyleGAN,0.497,0.47144219908689056,0.0039603960396039604,0.477085,0.2,0.002
VQGAN,0.499,0.48370880885558565,0.011834319526627219,0.49144299999999996,0.42857142857142855,0.006
PNDM,0.5355,0.690475866740038,0.1453541858325667,0.652928,0.9080459770114943,0.079
DDPM,0.525,0.6479204314300024,0.10881801125703565,0.626325,0.8787878787878788,0.058
LDM,0.519,0.6348751427324142,0.0872865275142315,0.6255919999999999,0.8518518518518519,0.046
DDIM,0.546,0.7235795348747047,0.18050541516245489,0.69987,0.9259259259259259,0.1
ProGAN,0.499,0.4894861500964892,0.011834319526627219,0.499875,0.42857142857142855,0.006
