conv_swin_best_swin-ProGAN_convnext-ProGAN testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5022058823529412,0.5622107440169497,0.004411764705882353,0.5769367389871598,1.0,0.002210759027266028
FFpp2,0.5011029411764706,0.6261702564258694,0.0,0.6434871276947173,0.0,0.0
FFpp3,0.4950962586269524,0.5592737334133007,0.0,0.5596663095055869,0.0,0.0
FFpp4,0.4963689179375454,0.6578124157319507,0.005734767025089606,0.6830621124269687,1.0,0.002875629043853343
StyleGAN,0.538,0.9999727098344693,0.1412639405204461,0.999972,1.0,0.076
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.957,1.0,0.955067920585162,1.0,1.0,0.914
DDPM,0.5395,1.0,0.1464318813716404,1.0,1.0,0.079
LDM,0.96,1.0,0.9583333333333334,1.0,1.0,0.92
DDIM,0.577,1.0,0.2668977469670711,1.0,1.0,0.154
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
