ddim_progan_attemptLR_swin-ProGAN_swin-DDIM_swin-ProGAN-DDIM testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5698529411764706,0.5613810862404944,0.574235807860262,0.576239287496533,0.5672178289000719,0.5814296241709653
FFpp2,0.49522058823529413,0.4970394890697076,0.46051080550098233,0.4849363994526358,0.49326599326599324,0.4318349299926308
FFpp3,0.47548129313476206,0.4921479806544781,0.431496062992126,0.4794826794470513,0.4765217391304348,0.3942446043165468
FFpp4,0.5214233841684822,0.5226467725701184,0.5059970014992504,0.5241419396149548,0.52858261550509,0.4852624011502516
StyleGAN,0.525,0.971859369065541,0.09523809523809523,0.961449,1.0,0.05
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.9985,1.0,0.9984977466199298,1.0,1.0,0.997
DDPM,1.0,1.0,1.0,1.0,1.0,1.0
LDM,0.56,0.971723612885267,0.21428571428571427,0.959708,1.0,0.12
DDIM,1.0,1.0,1.0,1.0,1.0,1.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
