ddim_progan_attemptkNN_swin-ProGAN_swin-DDIM_swin-ProGAN-DDIM testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.4988970588235294,0.4988970588235294,0.6656855531027717,0.5,0.4988970588235294,1.0
FFpp2,0.4988970588235294,0.4988970588235294,0.6656855531027717,0.5,0.4988970588235294,1.0
FFpp3,0.5049037413730476,0.5049037413730476,0.6710113444363988,0.5,0.5049037413730476,1.0
FFpp4,0.5050835148874364,0.5050835148874364,0.6711700844390832,0.5,0.5050835148874364,1.0
StyleGAN,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
VQGAN,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
PNDM,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
DDPM,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
LDM,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
DDIM,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
ProGAN,0.5,0.5,0.6666666666666666,0.5,0.5,1.0
