swin_tiny_2905_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5216911764705883,0.5611156953366028,0.2620533182076007,0.5755304821444308,0.5689655172413793,0.17022844509948415
FFpp2,0.5691176470588235,0.625895369682298,0.38054968287526425,0.6426658650480026,0.6728971962616822,0.26529108327192336
FFpp3,0.5241554667635306,0.5585985077621134,0.2802197802197802,0.5574716162506532,0.5930232558139535,0.18345323741007194
FFpp4,0.5726216412490922,0.6578741594555522,0.3979539641943734,0.6834334335654266,0.6897163120567376,0.2796549245147376
StyleGAN,0.8845,0.9999900802775025,0.8694177501413228,0.99999,1.0,0.769
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.7905,0.9985221331587054,0.734977862112587,0.998266,1.0,0.581
DDPM,0.5035,0.9129278392754907,0.013902681231380337,0.901135,1.0,0.007
LDM,0.9125,0.9988288495982881,0.9041095890410958,0.998535,1.0,0.825
DDIM,0.5075,0.9020870450849285,0.029556650246305417,0.8790875,1.0,0.015
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
