swin_tiny_3105_FFpp1-FFpp2-FFpp4 model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.9455882352941176,0.9850851165428356,0.9477031802120142,0.9875285941594655,0.9103869653767821,0.9882092851879145
FFpp2,0.9474264705882353,0.9856403313006512,0.9495590828924162,0.990435993687253,0.9106901217861976,0.9918938835666913
FFpp3,0.4627678895750091,0.448619230331206,0.054952076677316296,0.451260972146714,0.24571428571428572,0.03093525179856115
FFpp4,0.9270152505446623,0.9773571117237982,0.9293497363796134,0.9805676149948337,0.9092159559834938,0.9503953989935299
StyleGAN,0.503,0.5436739904629952,0.056925996204933584,0.572937,0.5555555555555556,0.03
VQGAN,0.523,0.6550413645631034,0.12797074954296161,0.672781,0.7446808510638298,0.07
PNDM,0.4955,0.4068343872650265,0.028873917228103944,0.325438,0.38461538461538464,0.015
DDPM,0.4975,0.41844422925804026,0.0364333652924257,0.345433,0.4418604651162791,0.019
LDM,0.5075,0.569514985023924,0.07337723424270931,0.601866,0.6190476190476191,0.039
DDIM,0.498,0.4163571016204802,0.038314176245210725,0.343315,0.45454545454545453,0.02
ProGAN,0.539,0.6704227525804097,0.1811722912966252,0.6786639999999999,0.8095238095238095,0.102
