swin_tiny_3105_FFpp1 model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.986764705882353,0.9974867767383913,0.9866369710467706,0.9962948565385535,0.994016454749439,0.9793662490788504
FFpp2,0.5073529411764706,0.6463044127206892,0.03597122302158273,0.663545075641047,0.7575757575757576,0.018422991893883568
FFpp3,0.4925535779150018,0.4101077523520167,0.0014295925661186562,0.36259995671841105,0.1111111111111111,0.0007194244604316547
FFpp4,0.5061728395061729,0.7291733652479829,0.054242002781641166,0.7535624940332807,0.8297872340425532,0.028037383177570093
StyleGAN,0.5,0.46914567443423755,0.0,0.50544,0.0,0.0
VQGAN,0.5,0.509188102130375,0.0,0.5351105,0.0,0.0
PNDM,0.5035,0.6454558875905386,0.013902681231380337,0.623831,1.0,0.007
DDPM,0.502,0.5542285123245616,0.00796812749003984,0.5492980000000001,1.0,0.004
LDM,0.5005,0.5260454986432718,0.001998001998001998,0.548179,1.0,0.001
DDIM,0.506,0.6737787945989904,0.023715415019762844,0.6622020000000001,1.0,0.012
ProGAN,0.5,0.5007760020595666,0.0,0.519094,0.0,0.0
